40.113.19.56 - - [09/Oct/2025:09:29:32 +0000] "GET /we.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /gfile.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /jlex3.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /moo.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /des.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /aaa.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /H.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /gifclass.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /pm.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /111.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /goat.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:33 +0000] "GET /wp-update.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:34 +0000] "GET /vee.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:34 +0000] "GET /efile.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:34 +0000] "GET /afile.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:34 +0000] "GET /errorfile.php HTTP/1.1" 200 400 "-" "-" "-"
40.113.19.56 - - [09/Oct/2025:09:29:34 +0000] "GET /gold.php HTTP/1.1" 200 400 "-" "-" "-"
204.76.203.219 - - [09/Oct/2025:10:09:35 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
87.121.84.17 - - [09/Oct/2025:10:41:11 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
103.175.29.100 - - [09/Oct/2025:10:58:11 +0000] "POST /HNAP1/ HTTP/1.0" 400 0 "-" "-" "-"
107.172.163.47 - - [09/Oct/2025:11:14:11 +0000] "GET /.env HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
107.172.163.47 - - [09/Oct/2025:11:14:12 +0000] "POST / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
43.164.196.57 - - [09/Oct/2025:11:44:42 +0000] "GET / HTTP/1.1" 200 400 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
204.76.203.219 - - [09/Oct/2025:12:00:21 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
144.172.116.36 - - [09/Oct/2025:12:43:18 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 400 154 "http://3.149.120.21:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0" "-"
144.172.116.36 - - [09/Oct/2025:12:43:19 +0000] "" 400 0 "-" "-" "-"
87.121.84.17 - - [09/Oct/2025:12:54:02 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
91.224.92.17 - - [09/Oct/2025:13:03:43 +0000] "GET / HTTP/1.1" 400 154 "-" "-" "-"
50.114.92.153 - - [09/Oct/2025:13:49:20 +0000] "GET /.env HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
50.114.92.153 - - [09/Oct/2025:13:49:21 +0000] "POST / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
204.76.203.219 - - [09/Oct/2025:14:03:39 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
176.65.148.132 - - [09/Oct/2025:14:16:06 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
176.65.148.132 - - [09/Oct/2025:14:16:06 +0000] "" 400 0 "-" "-" "-"
45.135.194.47 - - [09/Oct/2025:14:29:43 +0000] "GET /cgi-bin/luci/;stok=/locale HTTP/1.1" 499 0 "-" "-" "-"
87.121.84.17 - - [09/Oct/2025:14:47:10 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
44.220.185.57 - - [09/Oct/2025:14:47:10 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 6.2;en-US) AppleWebKit/537.32.36 (KHTML, live Gecko) Chrome/57.0.3062.106 Safari/537.32" "-"
43.155.26.193 - - [09/Oct/2025:15:03:17 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
93.174.93.12 - - [09/Oct/2025:15:18:44 +0000] "\x16\x03\x02\x01o\x01\x00\x01k\x03\x02RH\xC5\x1A#\xF7:N\xDF\xE2\xB4\x82/\xFF\x09T\x9F\xA7\xC4y\xB0h\xC6\x13\x8C\xA4\x1C=\x22\xE1\x1A\x98 \x84\xB4,\x85\xAFn\xE3Y\xBBbhl\xFF(=':\xA9\x82\xD9o\xC8\xA2\xD7\x93\x98\xB4\xEF\x80\xE5\xB9\x90\x00(\xC0" 400 150 "-" "-" "-"
173.243.164.130 - - [09/Oct/2025:15:38:57 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
173.243.164.130 - - [09/Oct/2025:15:38:57 +0000] "GET /assets/index-CkNa97w_.js HTTP/1.1" 304 0 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
173.243.164.130 - - [09/Oct/2025:15:38:57 +0000] "GET /assets/index-Bo8_gSxg.css HTTP/1.1" 304 0 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
173.243.164.130 - - [09/Oct/2025:15:38:58 +0000] "GET /favicon.ico HTTP/1.1" 304 0 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
139.135.60.132 - - [09/Oct/2025:15:51:30 +0000] "POST /HNAP1/ HTTP/1.0" 400 0 "-" "-" "-"
3.130.96.91 - - [09/Oct/2025:16:00:00 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
3.130.96.91 - - [09/Oct/2025:16:00:10 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) Chrome/126.0.0.0 Safari/537.36" "-"
3.130.96.91 - - [09/Oct/2025:16:00:57 +0000] "\x16\x03\x01\x00{\x01\x00\x00w\x03\x03\x05\xA52\x5C\xE1\xFD\xD0!ib\x98\x03\xFC]3\xBD\xC0\xA6\x90\xF5\xB1y6\x947D\xB0\xA7\x04\x97E\x92\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 150 "-" "-" "-"
3.130.96.91 - - [09/Oct/2025:16:01:02 +0000] "SSH-2.0-Go" 400 150 "-" "-" "-"
173.243.164.130 - - [09/Oct/2025:16:01:54 +0000] "GET /api/restaurants/search/?q=pizza HTTP/1.1" 200 4995 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
3.130.96.91 - - [09/Oct/2025:16:02:22 +0000] "" 400 0 "-" "-" "-"
204.76.203.219 - - [09/Oct/2025:16:08:38 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
185.24.11.171 - - [09/Oct/2025:16:14:07 +0000] "GET /.git/config HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; Scanner/1.0)" "-"
185.24.11.171 - - [09/Oct/2025:16:14:07 +0000] "GET /.env HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; Scanner/1.0)" "-"
185.24.11.171 - - [09/Oct/2025:16:14:07 +0000] "GET /.env.production HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; Scanner/1.0)" "-"
185.24.11.171 - - [09/Oct/2025:16:14:11 +0000] "GET /.aws/credentials HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; Scanner/1.0)" "-"
43.159.132.207 - - [09/Oct/2025:16:18:41 +0000] "GET / HTTP/1.1" 200 400 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "-"
87.121.84.17 - - [09/Oct/2025:16:22:52 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
82.23.215.80 - - [09/Oct/2025:16:59:57 +0000] "GET /.env HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
82.23.215.80 - - [09/Oct/2025:16:59:58 +0000] "POST / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
54.87.222.32 - - [09/Oct/2025:17:20:02 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "-"
102.88.53.135 - - [09/Oct/2025:17:22:54 +0000] "GET /.env HTTP/1.1" 400 154 "-" "python-requests/2.26.0" "-"
102.88.53.135 - - [09/Oct/2025:17:22:54 +0000] "POST / HTTP/1.1" 400 154 "-" "python-requests/2.26.0" "-"
103.252.89.75 - - [09/Oct/2025:17:29:41 +0000] "GET / HTTP/1.1" 400 154 "-" "-" "-"
204.76.203.219 - - [09/Oct/2025:17:56:44 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
204.76.203.212 - - [09/Oct/2025:18:10:50 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
87.121.84.17 - - [09/Oct/2025:18:13:28 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
198.235.24.110 - - [09/Oct/2025:18:23:54 +0000] "GET / HTTP/1.0" 400 143 "-" "Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity" "-"
24.46.60.29 - - [09/Oct/2025:18:28:25 +0000] "GET / HTTP/1.1" 304 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
24.46.60.29 - - [09/Oct/2025:18:45:17 +0000] "GET /api/restaurants/search/?q=pizza HTTP/1.1" 200 4995 "http://safeeats-app-env.eba-nknmey2d.us-east-2.elasticbeanstalk.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36" "-"
85.142.100.141 - - [09/Oct/2025:18:45:47 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; CyberOKInspect/1.0; +https://www.cyberok.ru/policy.html)" "-"
85.142.100.141 - - [09/Oct/2025:18:45:53 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; CyberOKInspect/1.0; +https://www.cyberok.ru/policy.html)" "-"
85.142.100.141 - - [09/Oct/2025:18:45:54 +0000] "\x16\x03\x01\x00\x8D\x01\x00\x00\x89\x03\x03\x22\x00\xCB\xC3\x13\xDF\xB7\x03\x1D\xEB\x85\x95\xA1Yox\x9AAl\xCD\xD5?\xBA" 400 150 "-" "-" "-"
85.142.100.141 - - [09/Oct/2025:18:45:58 +0000] "GET /favicon.ico HTTP/1.1" 400 154 "-" "Mozilla/5.0 (compatible; CyberOKInspect/1.0; +https://www.cyberok.ru/policy.html)" "-"
174.129.53.100 - - [09/Oct/2025:18:54:35 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Linux; Android 7.1.1; Z971) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.89 Mobile Safari/537.36" "-"
192.210.160.141 - - [09/Oct/2025:19:28:55 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 150 "-" "-" "-"
192.210.160.141 - - [09/Oct/2025:19:28:56 +0000] "POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1" 400 150 "-" "-" "-"
192.210.160.141 - - [09/Oct/2025:19:28:56 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:28:58 +0000] "POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:28:59 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:00 +0000] "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:01 +0000] "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:02 +0000] "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:04 +0000] "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:05 +0000] "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:06 +0000] "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:07 +0000] "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:08 +0000] "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:10 +0000] "GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:11 +0000] "GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:12 +0000] "GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:13 +0000] "GET /lib/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:15 +0000] "GET /lib/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:16 +0000] "GET /lib/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:17 +0000] "GET /laravel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:19 +0000] "GET /www/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:20 +0000] "GET /ws/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:21 +0000] "GET /yii/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:22 +0000] "GET /zend/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:24 +0000] "GET /ws/ec/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:25 +0000] "GET /V2/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:26 +0000] "GET /tests/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:27 +0000] "GET /test/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:28 +0000] "GET /testing/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:29 +0000] "GET /api/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:31 +0000] "GET /demo/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:32 +0000] "GET /cms/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:33 +0000] "GET /crm/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:34 +0000] "GET /admin/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:36 +0000] "GET /backup/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:37 +0000] "GET /blog/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:38 +0000] "GET /workspace/drupal/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:39 +0000] "GET /panel/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:41 +0000] "GET /public/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:42 +0000] "GET /apps/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:43 +0000] "GET /app/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:44 +0000] "GET /index.php?s=/index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:46 +0000] "GET /public/index.php?s=/index/\x5Cthink\x5Capp/invokefunction&function=call_user_func_array&vars[0]=md5&vars[1][]=Hello HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:47 +0000] "GET /index.php?lang=../../../../../../../../usr/local/lib/php/pearcmd&+config-create+/&/<?echo(md5(\x22hi\x22));?>+/tmp/index1.php HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:49 +0000] "GET /index.php?lang=../../../../../../../../tmp/index1 HTTP/1.1" 400 154 "-" "libredtail-http" "-"
192.210.160.141 - - [09/Oct/2025:19:29:50 +0000] "GET /containers/json HTTP/1.1" 400 154 "-" "libredtail-http" "-"
88.210.63.67 - - [09/Oct/2025:19:35:33 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 400 154 "http://3.149.120.21:80/admin/login.asp" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:71.0) Gecko/20100101 Firefox/71.0" "-"
88.210.63.67 - - [09/Oct/2025:19:35:33 +0000] "" 400 0 "-" "-" "-"
87.121.84.17 - - [09/Oct/2025:19:44:43 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" "-"
108.165.227.105 - - [09/Oct/2025:19:48:16 +0000] "GET /.env HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
108.165.227.105 - - [09/Oct/2025:19:48:17 +0000] "POST / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
204.76.203.219 - - [09/Oct/2025:20:07:32 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46" "-"
45.135.194.113 - - [09/Oct/2025:20:18:34 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.246" "-"
93.174.93.12 - - [09/Oct/2025:20:57:15 +0000] "GET / HTTP/1.0" 400 143 "-" "BlackBerry8320/4.2.2 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/100" "-"
117.219.129.173 - - [09/Oct/2025:21:02:42 +0000] "POST /HNAP1/ HTTP/1.0" 400 0 "-" "-" "-"
198.199.64.147 - - [09/Oct/2025:21:08:24 +0000] "GET / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
198.199.64.147 - - [09/Oct/2025:21:08:24 +0000] "GET /favicon.ico HTTP/1.1" 400 154 "http://3.149.120.21/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" "-"
209.242.203.163 - - [09/Oct/2025:21:13:04 +0000] "GET /.env HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
209.242.203.163 - - [09/Oct/2025:21:13:04 +0000] "POST / HTTP/1.1" 400 154 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.5845.140 Safari/537.36" "-"
103.252.89.75 - - [09/Oct/2025:21:40:19 +0000] "GET / HTTP/1.1" 400 154 "-" "-" "-"
